2025-04-09 02:39:39,247 p=42009 u=root n=ansible | Encryption successful
2025-04-09 02:44:38,646 p=42190 u=root n=ansible | PLAY [Splunk Installation or Upgrade Playbook] ****************************************************************************************************************************************************************************************************
2025-04-09 02:44:38,717 p=42190 u=root n=ansible | TASK [Installation or Upgrade Splunk] *************************************************************************************************************************************************************************************************************
2025-04-09 02:44:39,071 p=42190 u=root n=ansible | TASK [splunk : Include prerequisites] *************************************************************************************************************************************************************************************************************
2025-04-09 02:44:39,261 p=42190 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/prereqs.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 02:44:39,291 p=42190 u=root n=ansible | TASK [splunk : install acl package] ***************************************************************************************************************************************************************************************************************
2025-04-09 02:45:00,932 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:01,197 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:01,383 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:03,299 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:03,321 p=42190 u=root n=ansible | TASK [Reset value of start_splunk_handler_fired and configure_boot_start] *************************************************************************************************************************************************************************
2025-04-09 02:45:03,359 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:03,424 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:03,456 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:03,470 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:03,491 p=42190 u=root n=ansible | TASK [splunk : Set boot-start method to systemd] **************************************************************************************************************************************************************************************************
2025-04-09 02:45:03,586 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:03,587 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:03,606 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:03,635 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:03,656 p=42190 u=root n=ansible | TASK [splunk : Set boot-start method to initd] ****************************************************************************************************************************************************************************************************
2025-04-09 02:45:03,691 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:03,720 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:03,750 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:03,758 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:03,778 p=42190 u=root n=ansible | TASK [splunk : Configure vars for full package] ***************************************************************************************************************************************************************************************************
2025-04-09 02:45:03,877 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:03,879 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:03,903 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:03,935 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:03,956 p=42190 u=root n=ansible | TASK [Configure var for splunk systemd service handler] *******************************************************************************************************************************************************************************************
2025-04-09 02:45:04,053 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:04,054 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:04,074 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:04,106 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:04,128 p=42190 u=root n=ansible | TASK [splunk : Configure vars for uf package] *****************************************************************************************************************************************************************************************************
2025-04-09 02:45:04,193 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:04,224 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:04,237 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:04,269 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:04,291 p=42190 u=root n=ansible | TASK [splunk : Setting least priviledged mode] ****************************************************************************************************************************************************************************************************
2025-04-09 02:45:04,357 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:04,388 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:04,398 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:04,432 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:04,452 p=42190 u=root n=ansible | TASK [Configure var for splunkforwarder systemd service handler] **********************************************************************************************************************************************************************************
2025-04-09 02:45:04,521 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:04,553 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:04,563 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:04,595 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:04,615 p=42190 u=root n=ansible | TASK [Configure var for splunk init.d service handler] ********************************************************************************************************************************************************************************************
2025-04-09 02:45:04,680 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:04,715 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:04,723 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:04,757 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:04,778 p=42190 u=root n=ansible | TASK [splunk : Check if Splunk is installed] ******************************************************************************************************************************************************************************************************
2025-04-09 02:45:05,299 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:05,306 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:05,313 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:05,382 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:05,404 p=42190 u=root n=ansible | TASK [splunk : Check if active boot-start configuration is systemd] *******************************************************************************************************************************************************************************
2025-04-09 02:45:05,775 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:05,795 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:05,838 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:05,869 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:05,891 p=42190 u=root n=ansible | TASK [Set current_start_method var to systemd if systemd is being used for splunk] ****************************************************************************************************************************************************************
2025-04-09 02:45:05,987 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:05,988 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:06,009 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:06,040 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:06,061 p=42190 u=root n=ansible | TASK [splunk : Check if active boot-start method is init.d] ***************************************************************************************************************************************************************************************
2025-04-09 02:45:06,420 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:06,421 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:06,477 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:06,532 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:06,552 p=42190 u=root n=ansible | TASK [Set current_start_method to initd if initd is being used for splunk] ************************************************************************************************************************************************************************
2025-04-09 02:45:06,621 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:06,654 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:06,670 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:06,702 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:06,722 p=42190 u=root n=ansible | TASK [splunk : set current_start_method to disabled if boot-start is disabled] ********************************************************************************************************************************************************************
2025-04-09 02:45:06,818 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:06,820 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:06,832 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:06,866 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:06,887 p=42190 u=root n=ansible | TASK [splunk : Set boot-start misconfigured var] **************************************************************************************************************************************************************************************************
2025-04-09 02:45:06,960 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:06,997 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:07,009 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:07,041 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:07,063 p=42190 u=root n=ansible | TASK [splunk : Fail the play if the currently configured boot-start method does match the expected state or boot-start is not enabled] ************************************************************************************************************
2025-04-09 02:45:07,132 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:07,165 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:07,178 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:07,214 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:07,237 p=42190 u=root n=ansible | TASK [splunk : Include the specified task file] ***************************************************************************************************************************************************************************************************
2025-04-09 02:45:07,482 p=42190 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/check_splunk.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 02:45:07,513 p=42190 u=root n=ansible | TASK [splunk : Check if Splunk is installed] ******************************************************************************************************************************************************************************************************
2025-04-09 02:45:07,958 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:07,988 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:08,000 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:08,027 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:08,048 p=42190 u=root n=ansible | TASK [splunk : Install Splunk if not installed] ***************************************************************************************************************************************************************************************************
2025-04-09 02:45:08,117 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:08,150 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:08,163 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:08,197 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:08,217 p=42190 u=root n=ansible | TASK [splunk : Configure license] *****************************************************************************************************************************************************************************************************************
2025-04-09 02:45:08,455 p=42190 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/configure_license.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 02:45:08,494 p=42190 u=root n=ansible | TASK [Run splunk version command to check currently installed version] ****************************************************************************************************************************************************************************
2025-04-09 02:45:08,684 p=42190 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/check_splunk_version.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 02:45:08,717 p=42190 u=root n=ansible | TASK [Run splunk version command to check currently installed version] ****************************************************************************************************************************************************************************
2025-04-09 02:45:09,248 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:09,261 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:09,271 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:09,276 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:09,298 p=42190 u=root n=ansible | TASK [splunk : Get Splunk version number only] ****************************************************************************************************************************************************************************************************
2025-04-09 02:45:09,368 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:09,400 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:09,402 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:09,423 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:09,444 p=42190 u=root n=ansible | TASK [splunk : Setting licensing mode based on Splunk version number] *****************************************************************************************************************************************************************************
2025-04-09 02:45:09,511 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:09,545 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:09,547 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:09,568 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:09,590 p=42190 u=root n=ansible | TASK [splunk : Create license/enterprise directory] ***********************************************************************************************************************************************************************************************
2025-04-09 02:45:09,656 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:09,687 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:09,688 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:09,709 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:09,733 p=42190 u=root n=ansible | TASK [splunk : Copy license file] *****************************************************************************************************************************************************************************************************************
2025-04-09 02:45:09,864 p=42190 u=root n=ansible | TASK [splunk : Remove license manager uri when using local license] *******************************************************************************************************************************************************************************
2025-04-09 02:45:10,328 p=42190 u=root n=ansible | ok: [rh8-sh-1] => (item=manager_uri)
2025-04-09 02:45:10,337 p=42190 u=root n=ansible | ok: [rh8-idx-1] => (item=manager_uri)
2025-04-09 02:45:10,338 p=42190 u=root n=ansible | ok: [rh8-idx-2] => (item=manager_uri)
2025-04-09 02:45:10,339 p=42190 u=root n=ansible | ok: [rh8-ds-1] => (item=manager_uri)
2025-04-09 02:45:10,625 p=42190 u=root n=ansible | ok: [rh8-sh-1] => (item=master_uri)
2025-04-09 02:45:10,647 p=42190 u=root n=ansible | ok: [rh8-idx-1] => (item=master_uri)
2025-04-09 02:45:10,651 p=42190 u=root n=ansible | ok: [rh8-ds-1] => (item=master_uri)
2025-04-09 02:45:10,652 p=42190 u=root n=ansible | ok: [rh8-idx-2] => (item=master_uri)
2025-04-09 02:45:10,675 p=42190 u=root n=ansible | TASK [splunk : Configure License Group] ***********************************************************************************************************************************************************************************************************
2025-04-09 02:45:11,014 p=42190 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:45:11,026 p=42190 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:45:11,078 p=42190 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:45:11,155 p=42190 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:45:11,180 p=42190 u=root n=ansible | TASK [splunk : Set license manager_uri] ***********************************************************************************************************************************************************************************************************
2025-04-09 02:45:11,217 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:11,249 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:11,281 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:11,297 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:11,320 p=42190 u=root n=ansible | TASK [splunk : Extract encrypted value] ***********************************************************************************************************************************************************************************************************
2025-04-09 02:45:11,359 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:11,391 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:11,422 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:11,438 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:45:11,460 p=42190 u=root n=ansible | TASK [splunk : Set pass4SymmKey to match LM] ******************************************************************************************************************************************************************************************************
2025-04-09 02:45:11,495 p=42190 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:45:11,525 p=42190 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:45:11,558 p=42190 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:45:11,574 p=42190 u=root n=ansible | skipping: [rh8-idx-2]
